Pclass,Survived,Name,Sex,Age,Ticket,Fare,Embarked
1.0,True,"Dodge, Dr. Washington",male,53.0,33638,81.8583,S
1.0,True,"Dodge, Master. Washington",male,4.0,33638,81.8583,S
1.0,True,"Dodge, Mrs. Washington (Ruth Vidaver)",female,54.0,33638,81.8583,S
1.0,False,"Douglas, Mr. Walter Donald",male,50.0,PC 17761,106.425,C
1.0,True,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",female,27.0,PC 17558,247.5208,C
1.0,True,"Douglas, Mrs. Walter Donald (Mahala Dutton)",female,48.0,PC 17761,106.425,C
1.0,True,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,11755,39.6,C
1.0,True,"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",male,49.0,PC 17485,56.9292,C
1.0,False,"Dulles, Mr. William Crothers",male,39.0,PC 17580,29.7,C
1.0,True,"Earnshaw, Mrs. Boulton (Olive Potter)",female,23.0,11767,83.1583,C
1.0,True,"Endres, Miss. Caroline Louise",female,38.0,PC 17757,227.525,C
1.0,True,"Eustis, Miss. Elizabeth Mussey",female,54.0,36947,78.2667,C
1.0,False,"Evans, Miss. Edith Corse",female,36.0,PC 17531,31.6792,C
1.0,False,"Farthing, Mr. John",male,23.85928755725191,PC 17483,221.7792,S
1.0,True,"Flegenheim, Mrs. Alfred (Antoinette)",female,23.85928755725191,PC 17598,31.6833,S
1.0,True,"Fleming, Miss. Margaret",female,23.85928755725191,17421,110.8833,C
1.0,True,"Flynn, Mr. John Irwin (""Irving"")",male,36.0,PC 17474,26.3875,S
1.0,False,"Foreman, Mr. Benjamin Laventall",male,30.0,113051,27.75,C
1.0,True,"Fortune, Miss. Alice Elizabeth",female,24.0,19950,263.0,S
1.0,True,"Fortune, Miss. Ethel Flora",female,28.0,19950,263.0,S
1.0,True,"Fortune, Miss. Mabel Helen",female,23.0,19950,263.0,S
1.0,False,"Fortune, Mr. Charles Alexander",male,19.0,19950,263.0,S
1.0,False,"Fortune, Mr. Mark",male,64.0,19950,263.0,S
1.0,True,"Fortune, Mrs. Mark (Mary McDougald)",female,60.0,19950,263.0,S
1.0,True,"Francatelli, Miss. Laura Mabel",female,30.0,PC 17485,56.9292,C
1.0,False,"Franklin, Mr. Thomas Parham",male,23.85928755725191,113778,26.55,S
1.0,True,"Frauenthal, Dr. Henry William",male,50.0,PC 17611,133.65,S
1.0,True,"Frauenthal, Mr. Isaac Gerald",male,43.0,17765,27.7208,C
1.0,True,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,23.85928755725191,PC 17611,133.65,S
1.0,True,"Frolicher, Miss. Hedwig Margaritha",female,22.0,13568,49.5,C
1.0,True,"Frolicher-Stehli, Mr. Maxmillian",male,60.0,13567,79.2,C
1.0,True,"Frolicher-Stehli, Mrs. Maxmillian (Margaretha Emerentia Stehli)",female,48.0,13567,79.2,C
1.0,False,"Fry, Mr. Richard",male,23.85928755725191,112058,0.0,S
1.0,False,"Futrelle, Mr. Jacques Heath",male,37.0,113803,53.1,S
1.0,True,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,113803,53.1,S
1.0,False,"Gee, Mr. Arthur H",male,47.0,111320,38.5,S
1.0,True,"Geiger, Miss. Amalie",female,35.0,113503,211.5,C
1.0,True,"Gibson, Miss. Dorothy Winifred",female,22.0,112378,59.4,C
1.0,True,"Gibson, Mrs. Leonard (Pauline C Boeson)",female,45.0,112378,59.4,C
1.0,False,"Giglio, Mr. Victor",male,24.0,PC 17593,79.2,C
1.0,True,"Goldenberg, Mr. Samuel L",male,49.0,17453,89.1042,C
1.0,True,"Goldenberg, Mrs. Samuel L (Edwiga Grabowska)",female,23.85928755725191,17453,89.1042,C
1.0,False,"Goldschmidt, Mr. George B",male,71.0,PC 17754,34.6542,C
1.0,True,"Gracie, Col. Archibald IV",male,53.0,113780,28.5,C
1.0,True,"Graham, Miss. Margaret Edith",female,19.0,112053,30.0,S
1.0,False,"Graham, Mr. George Edward",male,38.0,PC 17582,153.4625,S
1.0,True,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.0,PC 17582,153.4625,S
1.0,True,"Greenfield, Mr. William Bertram",male,23.0,PC 17759,63.3583,C
1.0,True,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,45.0,PC 17759,63.3583,C
1.0,False,"Guggenheim, Mr. Benjamin",male,46.0,PC 17593,79.2,C
1.0,True,"Harder, Mr. George Achilles",male,25.0,11765,55.4417,C
1.0,True,"Harder, Mrs. George Achilles (Dorothy Annan)",female,25.0,11765,55.4417,C
1.0,True,"Harper, Mr. Henry Sleeper",male,48.0,PC 17572,76.7292,C
1.0,True,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,PC 17572,76.7292,C
1.0,False,"Harrington, Mr. Charles H",male,23.85928755725191,113796,42.4,S
1.0,False,"Harris, Mr. Henry Birkhardt",male,45.0,36973,83.475,S
1.0,True,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.0,36973,83.475,S
1.0,False,"Harrison, Mr. William",male,40.0,112059,0.0,S
1.0,True,"Hassab, Mr. Hammad",male,27.0,PC 17572,76.7292,C
1.0,True,"Hawksford, Mr. Walter James",male,23.85928755725191,16988,30.0,S
1.0,True,"Hays, Miss. Margaret Bechstein",female,24.0,11767,83.1583,C
1.0,False,"Hays, Mr. Charles Melville",male,55.0,12749,93.5,S
1.0,True,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52.0,12749,93.5,S
1.0,False,"Head, Mr. Christopher",male,42.0,113038,42.5,S
1.0,False,"Hilliard, Mr. Herbert Henry",male,23.85928755725191,17463,51.8625,S
1.0,False,"Hipkins, Mr. William Edward",male,55.0,680,50.0,S
1.0,True,"Hippach, Miss. Jean Gertrude",female,16.0,111361,57.9792,C
1.0,True,"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",female,44.0,111361,57.9792,C
1.0,True,"Hogeboom, Mrs. John C (Anna Andrews)",female,51.0,13502,77.9583,S
1.0,False,"Holverson, Mr. Alexander Oskar",male,42.0,113789,52.0,S
1.0,True,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0,113789,52.0,S
1.0,True,"Homer, Mr. Harry (""Mr E Haven"")",male,35.0,111426,26.55,C
1.0,True,"Hoyt, Mr. Frederick Maxfield",male,38.0,19943,90.0,S
1.0,False,"Hoyt, Mr. William Fisher",male,23.85928755725191,PC 17600,30.6958,C
1.0,True,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",female,35.0,19943,90.0,S
1.0,True,"Icard, Miss. Amelie",female,38.0,113572,80.0,
1.0,False,"Isham, Miss. Ann Elizabeth",female,50.0,PC 17595,28.7125,C
1.0,True,"Ismay, Mr. Joseph Bruce",male,49.0,112058,0.0,S
1.0,False,"Jones, Mr. Charles Cresson",male,46.0,694,26.0,S
1.0,False,"Julian, Mr. Henry Forbes",male,50.0,113044,26.0,S
1.0,False,"Keeping, Mr. Edwin",male,32.5,113503,211.5,C
1.0,False,"Kent, Mr. Edward Austin",male,58.0,11771,29.7,C
1.0,False,"Kenyon, Mr. Frederick R",male,41.0,17464,51.8625,S
1.0,True,"Kenyon, Mrs. Frederick R (Marion)",female,23.85928755725191,17464,51.8625,S
1.0,True,"Kimball, Mr. Edwin Nelson Jr",male,42.0,11753,52.5542,S
1.0,True,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)",female,45.0,11753,52.5542,S
1.0,False,"Klaber, Mr. Herman",male,23.85928755725191,113028,26.55,S
1.0,True,"Kreuchen, Miss. Emilie",female,39.0,24160,211.3375,S
1.0,True,"Leader, Dr. Alice (Farnham)",female,49.0,17465,25.9292,S
1.0,True,"LeRoy, Miss. Bertha",female,30.0,PC 17761,106.425,C
1.0,True,"Lesurer, Mr. Gustave J",male,35.0,PC 17755,512.3292,C
1.0,False,"Lewy, Mr. Ervin G",male,23.85928755725191,PC 17612,27.7208,C
1.0,False,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")",male,42.0,17475,26.55,S
1.0,True,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)",female,55.0,112377,27.7208,C
1.0,True,"Lines, Miss. Mary Conover",female,16.0,PC 17592,39.4,S
1.0,True,"Lines, Mrs. Ernest H (Elizabeth Lindsey James)",female,51.0,PC 17592,39.4,S
1.0,False,"Long, Mr. Milton Clyde",male,29.0,113501,30.0,S
1.0,True,"Longley, Miss. Gretchen Fiske",female,21.0,13502,77.9583,S
1.0,False,"Loring, Mr. Joseph Holland",male,30.0,113801,45.5,S
1.0,True,"Lurette, Miss. Elise",female,58.0,PC 17569,146.5208,C
1.0,True,"Madill, Miss. Georgette Alexandra",female,15.0,24160,211.3375,S
1.0,False,"Maguire, Mr. John Edward",male,30.0,110469,26.0,S
1.0,True,"Maioni, Miss. Roberta",female,16.0,110152,86.5,S
1.0,True,"Marechal, Mr. Pierre",male,23.85928755725191,11774,29.7,C
1.0,False,"Marvin, Mr. Daniel Warner",male,19.0,113773,53.1,S
1.0,True,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",female,18.0,113773,53.1,S
1.0,True,"Mayne, Mlle. Berthe Antonine (""Mrs de Villiers"")",female,24.0,PC 17482,49.5042,C
1.0,False,"McCaffry, Mr. Thomas Francis",male,46.0,13050,75.2417,C
1.0,False,"McCarthy, Mr. Timothy J",male,54.0,17463,51.8625,S
1.0,True,"McGough, Mr. James Robert",male,36.0,PC 17473,26.2875,S
1.0,False,"Meyer, Mr. Edgar Joseph",male,28.0,PC 17604,82.1708,C
1.0,True,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,23.85928755725191,PC 17604,82.1708,C
1.0,False,"Millet, Mr. Francis Davis",male,65.0,13509,26.55,S
1.0,False,"Minahan, Dr. William Edward",male,44.0,19928,90.0,Q
1.0,True,"Minahan, Miss. Daisy E",female,33.0,19928,90.0,Q
1.0,True,"Minahan, Mrs. William Edward (Lillian E Thorpe)",female,37.0,19928,90.0,Q
1.0,True,"Mock, Mr. Philipp Edmund",male,30.0,13236,57.75,C
1.0,False,"Molson, Mr. Harry Markland",male,55.0,113787,30.5,S
1.0,False,"Moore, Mr. Clarence Bloomfield",male,47.0,113796,42.4,S
1.0,False,"Natsch, Mr. Charles H",male,37.0,PC 17596,29.7,C
1.0,True,"Newell, Miss. Madeleine",female,31.0,35273,113.275,C
1.0,True,"Newell, Miss. Marjorie",female,23.0,35273,113.275,C
1.0,False,"Newell, Mr. Arthur Webster",male,58.0,35273,113.275,C
1.0,True,"Newsom, Miss. Helen Monypeny",female,19.0,11752,26.2833,S
1.0,False,"Nicholson, Mr. Arthur Ernest",male,64.0,693,26.0,S
1.0,True,"Oliva y Ocana, Dona. Fermina",female,39.0,PC 17758,108.9,C
1.0,True,"Omont, Mr. Alfred Fernand",male,23.85928755725191,F.C. 12998,25.7417,C
1.0,True,"Ostby, Miss. Helene Ragnhild",female,22.0,113509,61.9792,C
1.0,False,"Ostby, Mr. Engelhart Cornelius",male,65.0,113509,61.9792,C
1.0,False,"Ovies y Rodriguez, Mr. Servando",male,28.5,PC 17562,27.7208,C
1.0,False,"Parr, Mr. William Henry Marsh",male,23.85928755725191,112052,0.0,S
1.0,False,"Partner, Mr. Austen",male,45.5,113043,28.5,S
1.0,False,"Payne, Mr. Vivian Ponsonby",male,23.0,12749,93.5,S
1.0,False,"Pears, Mr. Thomas Clinton",male,29.0,113776,66.6,S
1.0,True,"Pears, Mrs. Thomas (Edith Wearne)",female,22.0,113776,66.6,S
1.0,False,"Penasco y Castellana, Mr. Victor de Satode",male,18.0,PC 17758,108.9,C
1.0,True,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.0,PC 17758,108.9,C
1.0,True,"Perreault, Miss. Anne",female,30.0,12749,93.5,S
1.0,True,"Peuchen, Major. Arthur Godfrey",male,52.0,113786,30.5,S
1.0,False,"Porter, Mr. Walter Chamberlain",male,47.0,110465,52.0,S
1.0,True,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,56.0,11767,83.1583,C
1.0,False,"Reuchlin, Jonkheer. John George",male,38.0,19972,0.0,S
1.0,True,"Rheims, Mr. George Alexander Lucien",male,23.85928755725191,PC 17607,39.6,S
1.0,False,"Ringhini, Mr. Sante",male,22.0,PC 17760,135.6333,C
1.0,False,"Robbins, Mr. Victor",male,23.85928755725191,PC 17757,227.525,C
1.0,True,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,43.0,24160,211.3375,S
1.0,False,"Roebling, Mr. Washington Augustus II",male,31.0,PC 17590,50.4958,S
1.0,True,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.0,111428,26.55,S
1.0,False,"Rood, Mr. Hugh Roscoe",male,23.85928755725191,113767,50.0,S
1.0,True,"Rosenbaum, Miss. Edith Louise",female,33.0,PC 17613,27.7208,C
1.0,False,"Rosenshine, Mr. George (""Mr George Thorne"")",male,46.0,PC 17585,79.2,C
1.0,False,"Ross, Mr. John Hugo",male,36.0,13049,40.125,C
1.0,True,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,33.0,110152,86.5,S
1.0,False,"Rothschild, Mr. Martin",male,55.0,PC 17603,59.4,C
1.0,True,"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",female,54.0,PC 17603,59.4,C
1.0,False,"Rowe, Mr. Alfred G",male,33.0,113790,26.55,S
1.0,True,"Ryerson, Master. John Borie",male,13.0,PC 17608,262.375,C
1.0,True,"Ryerson, Miss. Emily Borie",female,18.0,PC 17608,262.375,C
1.0,True,"Ryerson, Miss. Susan Parker ""Suzette""",female,21.0,PC 17608,262.375,C
1.0,False,"Ryerson, Mr. Arthur Larned",male,61.0,PC 17608,262.375,C
1.0,True,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)",female,48.0,PC 17608,262.375,C
1.0,True,"Saalfeld, Mr. Adolphe",male,23.85928755725191,19988,30.5,S
1.0,True,"Sagesser, Mlle. Emma",female,24.0,PC 17477,69.3,C
1.0,True,"Salomon, Mr. Abraham L",male,23.85928755725191,111163,26.0,S
1.0,True,"Schabert, Mrs. Paul (Emma Mock)",female,35.0,13236,57.75,C
1.0,True,"Serepeca, Miss. Augusta",female,30.0,113798,31.0,C
1.0,True,"Seward, Mr. Frederic Kimber",male,34.0,113794,26.55,S
1.0,True,"Shutes, Miss. Elizabeth W",female,40.0,PC 17582,153.4625,S
1.0,True,"Silverthorne, Mr. Spencer Victor",male,35.0,PC 17475,26.2875,S
1.0,False,"Silvey, Mr. William Baird",male,50.0,13507,55.9,S
1.0,True,"Silvey, Mrs. William Baird (Alice Munger)",female,39.0,13507,55.9,S
1.0,True,"Simonius-Blumer, Col. Oberst Alfons",male,56.0,13213,35.5,C
1.0,True,"Sloper, Mr. William Thompson",male,28.0,113788,35.5,S
1.0,False,"Smart, Mr. John Montgomery",male,56.0,113792,26.55,S
1.0,False,"Smith, Mr. James Clinch",male,56.0,17764,30.6958,C
1.0,False,"Smith, Mr. Lucien Philip",male,24.0,13695,60.0,S
1.0,False,"Smith, Mr. Richard William",male,23.85928755725191,113056,26.0,S
1.0,True,"Smith, Mrs. Lucien Philip (Mary Eloise Hughes)",female,18.0,13695,60.0,S
1.0,True,"Snyder, Mr. John Pillsbury",male,24.0,21228,82.2667,S
1.0,True,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)",female,23.0,21228,82.2667,S
1.0,True,"Spedden, Master. Robert Douglas",male,6.0,16966,134.5,C
1.0,True,"Spedden, Mr. Frederic Oakley",male,45.0,16966,134.5,C
1.0,True,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.0,16966,134.5,C
1.0,False,"Spencer, Mr. William Augustus",male,57.0,PC 17569,146.5208,C
1.0,True,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,23.85928755725191,PC 17569,146.5208,C
1.0,True,"Stahelin-Maeglin, Dr. Max",male,32.0,13214,30.5,C
1.0,False,"Stead, Mr. William Thomas",male,62.0,113514,26.55,S
1.0,True,"Stengel, Mr. Charles Emil Henry",male,54.0,11778,55.4417,C
1.0,True,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",female,43.0,11778,55.4417,C
1.0,True,"Stephenson, Mrs. Walter Bertram (Martha Eustis)",female,52.0,36947,78.2667,C
1.0,False,"Stewart, Mr. Albert A",male,23.85928755725191,PC 17605,27.7208,C
1.0,True,"Stone, Mrs. George Nelson (Martha Evelyn)",female,62.0,113572,80.0,
1.0,False,"Straus, Mr. Isidor",male,67.0,PC 17483,221.7792,S
1.0,False,"Straus, Mrs. Isidor (Rosalie Ida Blun)",female,63.0,PC 17483,221.7792,S
1.0,False,"Sutton, Mr. Frederick",male,61.0,36963,32.3208,S
1.0,True,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,48.0,17466,25.9292,S
1.0,True,"Taussig, Miss. Ruth",female,18.0,110413,79.65,S
1.0,False,"Taussig, Mr. Emil",male,52.0,110413,79.65,S
1.0,True,"Taussig, Mrs. Emil (Tillie Mandelbaum)",female,39.0,110413,79.65,S
1.0,True,"Taylor, Mr. Elmer Zebley",male,48.0,19996,52.0,S
1.0,True,"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",female,23.85928755725191,19996,52.0,S
1.0,False,"Thayer, Mr. John Borland",male,49.0,17421,110.8833,C
1.0,True,"Thayer, Mr. John Borland Jr",male,17.0,17421,110.8833,C
1.0,True,"Thayer, Mrs. John Borland (Marian Longstreth Morris)",female,39.0,17421,110.8833,C
1.0,True,"Thorne, Mrs. Gertrude Maybelle",female,23.85928755725191,PC 17585,79.2,C
1.0,True,"Tucker, Mr. Gilbert Milligan Jr",male,31.0,2543,28.5375,C
1.0,False,"Uruchurtu, Don. Manuel E",male,40.0,PC 17601,27.7208,C
1.0,False,"Van der hoef, Mr. Wyckoff",male,61.0,111240,33.5,S
1.0,False,"Walker, Mr. William Anderson",male,47.0,36967,34.0208,S
1.0,True,"Ward, Miss. Anna",female,35.0,PC 17755,512.3292,C
1.0,False,"Warren, Mr. Frank Manley",male,64.0,110813,75.25,C
1.0,True,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.0,110813,75.25,C
1.0,False,"Weir, Col. John",male,60.0,113800,26.55,S
1.0,False,"White, Mr. Percival Wayland",male,54.0,35281,77.2875,S
1.0,False,"White, Mr. Richard Frasar",male,21.0,35281,77.2875,S
1.0,True,"White, Mrs. John Stuart (Ella Holmes)",female,55.0,PC 17760,135.6333,C
1.0,True,"Wick, Miss. Mary Natalie",female,31.0,36928,164.8667,S
1.0,False,"Wick, Mr. George Dennick",male,57.0,36928,164.8667,S
1.0,True,"Wick, Mrs. George Dennick (Mary Hitchcock)",female,45.0,36928,164.8667,S
1.0,False,"Widener, Mr. George Dunton",male,50.0,113503,211.5,C
1.0,False,"Widener, Mr. Harry Elkins",male,27.0,113503,211.5,C
1.0,True,"Widener, Mrs. George Dunton (Eleanor Elkins)",female,50.0,113503,211.5,C
1.0,True,"Willard, Miss. Constance",female,21.0,113795,26.55,S
1.0,False,"Williams, Mr. Charles Duane",male,51.0,PC 17597,61.3792,C
1.0,True,"Williams, Mr. Richard Norris II",male,21.0,PC 17597,61.3792,C
1.0,False,"Williams-Lambert, Mr. Fletcher Fellows",male,23.85928755725191,113510,35.0,S
1.0,True,"Wilson, Miss. Helen Alice",female,31.0,16966,134.5,C
1.0,True,"Woolner, Mr. Hugh",male,23.85928755725191,19947,35.5,S
